Calculations with WS3
    Z    N    A      Etot  Eshell+pairing  beta2      gamma      beta4
   40   76  116    -3.321    -4.907     0.172      60.000    -0.044
   40   78  118    -5.479    -5.440     0.018      60.000    -0.001
   40   80  120    -8.836    -8.826     0.013      60.000    -0.001
   40   82  122   -11.885   -11.895     0.010      60.000    -0.001
   40   84  124   -10.564   -10.568     0.012      59.605     0.001
   42   40   82    -1.849    -1.857     0.004      60.000    -0.002
   42   42   84    -1.997    -2.011     0.004      60.000    -0.002
   42   44   86    -2.243    -2.269     0.000     -30.000    -0.001
   42   46   88    -3.536    -3.536     0.000     -30.000    -0.001
   42   48   90    -5.743    -5.771     0.000     -30.000    -0.001
   42   50   92    -7.952    -7.980     0.000     -30.000    -0.001
   42   52   94    -6.086    -6.115     0.002      60.000    -0.002
   42   54   96    -3.777    -3.808     0.013      25.748    -0.001
   42   56   98    -1.782    -1.826     0.027      16.809     0.001
   42   58  100    -0.375    -1.903     0.198      54.986    -0.002
   42   60  102     0.069    -2.922     0.279      15.035     0.033
   42   62  104     0.015    -3.531     0.312      16.176     0.027
   42   64  106    -0.166    -3.990     0.327      18.152     0.017
   42   66  108    -0.206    -3.970     0.323      20.855     0.007
   42   68  110    -0.299    -3.690     0.301      27.229    -0.001
   42   70  112    -0.711    -3.635     0.236      60.000    -0.055
   42   72  114    -1.375    -4.138     0.227      60.000    -0.055
   42   74  116    -2.153    -4.532     0.214      51.260    -0.052
   42   76  118    -3.250    -5.182     0.189      52.857    -0.051
   42   78  120    -5.318    -5.309     0.021      60.000    -0.002
   42   80  122    -8.678    -8.697     0.014      60.000    -0.001
   42   82  124   -11.738   -11.745     0.010      60.000    -0.001
   42   84  126   -10.266   -10.265     0.013      60.000     0.000
   42   86  128    -8.328    -8.367     0.031      -1.545     0.004
   42   88  130    -6.524    -6.547     0.029      -5.815     0.002
   42   90  132    -4.714    -4.715     0.023      -8.087     0.002
   44   42   86    -2.690    -2.696     0.002      57.563    -0.002
   44   44   88    -3.118    -3.404     0.078      -6.077     0.012
   44   46   90    -4.290    -4.622     0.095      -3.964     0.011
   44   48   92    -6.183    -6.207     0.000     -30.000    -0.000
   44   50   94    -8.287    -8.312     0.000     -30.000    -0.001
   44   52   96    -6.300    -6.415     0.054      -3.435     0.006
   44   54   98    -4.245    -4.849     0.114      -2.251     0.024
   44   56  100    -2.484    -3.355     0.147      -0.383     0.022
   44   58  102    -1.040    -2.494     0.190       0.790     0.028
   44   60  104    -0.329    -2.553     0.247     -20.214     0.019
   44   62  106    -0.161    -3.166     0.286      16.210     0.026
   44   64  108    -0.245    -3.644     0.308      17.621     0.019
   44   66  110    -0.296    -3.648     0.304      20.564     0.007
   44   68  112    -0.511    -3.476     0.279      26.333    -0.004
   44   70  114    -0.934    -3.869     0.271      28.523    -0.014
   44   72  116    -1.433    -3.928     0.246     -30.000    -0.025
   44   74  118    -2.284    -4.533     0.219      36.405    -0.038
   44   76  120    -3.345    -5.081     0.184      37.665    -0.040
   44   78  122    -5.404    -5.461     0.041      52.666    -0.005
   44   80  124    -8.750    -8.765     0.016      60.000    -0.001
   44   82  126   -11.806   -11.809     0.009      60.000    -0.001
   44   84  128   -10.208   -10.224     0.023      12.920     0.003
   44   86  130    -8.217    -8.325     0.048      -4.340     0.008
   44   88  132    -6.279    -6.353     0.048      -5.475     0.004
   44   90  134    -4.334    -4.392     0.047     -10.087     0.005
   44   92  136    -2.745    -4.915     0.177       0.053     0.069
   44   94  138    -2.237    -4.992     0.212       0.332     0.074
   46   46   92    -5.830    -6.230     0.111      -0.689     0.007
   46   48   94    -7.463    -7.486     0.000     -30.000    -0.000
   46   50   96    -9.459    -9.483     0.000     -30.000    -0.001
   46   52   98    -7.378    -7.570     0.072      -1.841     0.007
   46   54  100    -5.421    -6.004     0.125      -0.868     0.016
   46   56  102    -3.737    -4.518     0.148      -0.750     0.011
   46   58  104    -2.229    -3.188     0.165      -1.081     0.008
   46   60  106    -1.056    -2.376     0.190      -0.072     0.016
   46   62  108    -0.487    -2.849     0.244      -0.841     0.035
   46   64  110    -0.359    -3.579     0.300      14.588     0.023
   46   66  112    -0.354    -3.605     0.302      18.030     0.008
   46   68  114    -0.587    -2.492     0.225      -2.872    -0.004
   46   70  116    -1.140    -2.975     0.213      -1.585    -0.017
   46   72  118    -1.782    -3.329     0.192      -0.625    -0.021
   46   74  120    -2.712    -3.923     0.164     -15.016    -0.022
   46   76  122    -4.142    -4.964     0.129      18.953    -0.020
   46   78  124    -6.270    -6.507     0.070      20.572    -0.009
   46   80  126    -9.567    -9.568     0.011      60.000    -0.000
   46   82  128   -12.635   -12.632     0.004      60.000     0.000
   46   84  130   -10.880   -10.890     0.019      17.579     0.002
   46   86  132    -8.749    -8.852     0.050      -3.353     0.005
   46   88  134    -6.692    -6.793     0.052      -4.309     0.001
   46   90  136    -4.659    -4.742     0.052      -6.163     0.001
   46   92  138    -3.264    -5.498     0.186      -0.672     0.067
   46   94  140    -2.829    -5.849     0.222      -0.285     0.076
   46   96  142    -2.466    -5.408     0.239       0.174     0.068
   46   98  144    -2.195    -4.937     0.249       0.966     0.056
   46  100  146    -2.039    -4.666     0.258       0.377     0.042
   48   48   96    -9.565    -9.564     0.000     -30.000    -0.000
   48   50   98   -11.506   -11.530     0.000     -30.000    -0.000
   48   52  100    -9.254    -9.277     0.000     -30.000    -0.000
   48   54  102    -6.829    -7.180     0.100      -1.047     0.004
   48   56  104    -4.956    -5.483     0.120      -0.942    -0.002
   48   58  106    -3.328    -4.043     0.132      -1.083    -0.009
   48   60  108    -1.960    -2.817     0.140      -0.104    -0.014
   48   62  110    -1.076    -3.758     0.262      -0.422     0.040
   48   64  112    -0.850    -3.288     0.260      -0.299     0.026
   48   66  114    -0.864    -2.899     0.240       0.541     0.008
   48   68  116    -1.196    -3.078     0.220      -1.030    -0.010
   48   70  118    -1.818    -3.513     0.204      -1.086    -0.022
   48   72  120    -2.575    -3.957     0.176      -0.167    -0.028
   48   74  122    -3.701    -4.663     0.140      -3.087    -0.026
   48   76  124    -5.355    -5.967     0.105      12.476    -0.019
   48   78  126    -7.843    -7.868     0.000     -30.000    -0.000
   48   80  128   -11.194   -11.204     0.005      59.119     0.000
   48   82  130   -14.238   -14.260     0.002      60.000     0.000
   48   84  132   -12.318   -12.322     0.010      60.000     0.001
   48   86  134    -9.958   -10.009     0.034      -3.411     0.002
   48   88  136    -7.778    -7.849     0.036      -6.599     0.000
   48   90  138    -5.652    -5.707     0.037     -10.819     0.001
   48   92  140    -3.689    -6.465     0.208      -0.831     0.073
   48   94  142    -3.423    -6.561     0.230      -0.212     0.075
   48   96  144    -3.105    -6.090     0.241      -0.001     0.067
   48   98  146    -2.835    -5.578     0.248       0.062     0.055
   48  100  148    -2.651    -5.216     0.251      -0.009     0.042
   48  102  150    -2.524    -5.075     0.257      -0.487     0.028
   48  104  152    -2.281    -4.567     0.253      -0.884     0.015
   48  106  154    -2.042    -4.006     0.237      -0.938     0.003
   50   50  100   -13.438   -13.463     0.000     -30.000    -0.001
   50   52  102   -11.187   -11.212     0.000     -30.000    -0.000
   50   54  104    -8.443    -8.469     0.000     -30.000    -0.001
   50   56  106    -6.160    -6.185     0.000     -30.000    -0.000
   50   58  108    -4.300    -4.412     0.051      -0.695     0.001
   50   60  110    -2.830    -2.984     0.059       2.619    -0.000
